,num,artists,name,album,genre,duration_ms,explicit,id,track_number,is_local,popularity,available_markets,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
0,1,Beastie Boys,Intergalactic,Solid Gold Hits,alternative rock,210106,False,0rVd7bTGtrQUW34xSLzozd,10,False,51,184,0.0105,0.731,0.881,6.31e-05,0.0628,-6.504,0.281,105.971,0.361
1,2,Grimes,Player Of Games,Player Of Games,art pop,245542,False,1aL6wkVeoR41DqDpVN7Gl2,1,False,69,184,3.22e-05,0.54,0.925,0.00102,0.172,-4.79,0.0363,130.943,0.13
2,3,Fasion,1-800-DIRTY,Modernism,trap beats,125887,False,4DShwfEmYrQtELkVB1x1hy,2,False,17,184,0.296,0.934,0.471,0.736,0.081,-10.793,0.286,107.022,0.631
3,4,Trent Reznor and Atticus Ross,A Familiar Taste,The Social Network,soundtrack,215777,False,1TNFOXxCmzx57mxZfuPOAN,3,False,44,183,0.486,0.705,0.828,0.876,0.0878,-8.615,0.0652,148.008,0.279
4,5,Bee Gees,"Night Fever - From ""Saturday Night Fever"" Soundtrack",How Can You Mend A Broken Heart,disco,212800,False,0qemIQjSxcKyf42VPfZnfa,16,False,74,96,0.0178,0.726,0.779,0.00178,0.104,-7.057,0.0251,109.133,0.841
5,6,LCD Soundsystem,I Can Change,This Is Happening,alternative dance,352003,False,2073QOEC8rBtSyTsRyaWiP,5,False,60,184,0.00215,0.644,0.73,0.00178,0.233,-6.565,0.0287,116.981,0.695
6,7,Trent Reznor and Atticus Ross,In Motion,The Social Network,soundtrack,296770,False,50CgC2wKmbWm4WLQKY87oP,2,False,51,183,0.697,0.618,0.638,0.912,0.12,-12.241,0.035,124.004,0.356
7,8,Animal Collective,FloriDada,Painting With,alternative dance,245493,False,26WNKAgxNfg1MkhpBrx8UV,1,False,45,184,0.214,0.486,0.791,0.0,0.0849,-5.0,0.0601,166.413,0.221
8,9,Kero Kero Bonito,Sick Beat,Intro Bonito,art pop,179090,False,77p1CIEpT4kXMa8R4i7etL,3,False,49,183,0.156,0.747,0.681,0.0,0.167,-6.353,0.117,98.978,0.853
9,10,Justin Timberlake,SexyBack (feat. Timbaland),FutureSex/LoveSounds,dance pop,242733,True,0O45fw2L5vsWpdsOdXwNAR,2,False,79,184,0.0584,0.967,0.583,0.0,0.0519,-5.562,0.0789,117.0,0.964
10,11,Jon Lajoie,Everyday Normal Guy 2,You Want Some of This?,comedy rap,195693,True,2hhFpD32iXUd4GaCu6T4wn,9,False,82,174,0.422,0.823,0.731,0.0,0.306,-4.273,0.307,90.3,0.877
11,12,Queen,Don't Stop Me Now - Remastered 2011,Jazz (2011 Remaster),classic rock,209413,False,5T8EDUDqKcs6OSOwEsfqG7,12,False,82,178,0.0475,0.559,0.868,0.000176,0.776,-5.276,0.17,156.295,0.609
12,13,Queen,The Invisible Man - Remastered 2011,The Miracle (2011 Remaster),classic rock,237680,False,6VoiY3rukFPoqzP4AoGPU8,5,False,57,178,0.188,0.704,0.792,0.0155,0.328,-6.94,0.0422,119.994,0.563
13,14,Queen,I Want It All - Single Version,The Miracle (Deluxe Edition 2011 Remaster),classic rock,242093,False,1MX6kqZ8FOht5UnQuPl6Jj,1,False,67,178,0.0249,0.406,0.847,3.01e-06,0.375,-5.705,0.0482,92.245,0.379
14,15,Queen,I Want To Break Free - Single Remix,The Works (Deluxe Edition 2011 Remaster),classic rock,258013,False,2AkmdLbVKS1steeZdy8H1l,2,False,76,178,0.0841,0.795,0.435,0.00026,0.0763,-8.927,0.0324,108.95,0.596
15,16,Derivakat,REVIVED,Records of the SMP,dream smp,153777,False,2Cqr74oA90iffydKmgjwhp,6,False,69,184,0.525,0.651,0.647,6.37e-06,0.373,-7.475,0.338,180.191,0.575
16,17,Stegosaurus Rex,Nowhere To Run,The Dino Soars,weirdcore,300000,False,2PJhATOD9dWsevezmfjoMA,13,False,72,184,0.678,0.809,0.668,0.0147,0.0865,-6.936,0.219,119.976,0.636
